"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"17.06.2022","99.825","102.800","102.801","98.402","18,93M","-2,90%"
"15.06.2022","102.807","102.068","103.952","102.046","16,02M","0,73%"
"14.06.2022","102.063","102.598","103.328","101.325","11,56M","-0,52%"
"13.06.2022","102.598","105.476","105.478","101.700","13,84M","-2,73%"
"10.06.2022","105.481","107.091","107.092","104.648","12,84M","-1,51%"
"09.06.2022","107.094","108.367","108.510","107.068","11,96M","-1,18%"
"08.06.2022","108.368","110.067","110.142","108.045","10,38M","-1,55%"
"07.06.2022","110.070","110.185","110.435","109.394","9,47M","-0,11%"
"06.06.2022","110.186","111.102","111.935","110.015","8,21M","-0,82%"
"03.06.2022","111.102","112.392","112.392","110.935","8,76M","-1,15%"
"02.06.2022","112.393","111.363","112.709","111.218","10,05M","0,93%"
"01.06.2022","111.360","111.351","111.931","110.822","9,79M","0,01%"
"31.05.2022","111.351","111.036","111.903","110.685","15,81M","0,29%"
"30.05.2022","111.032","111.944","112.690","110.655","7,28M","-0,81%"
"27.05.2022","111.942","111.890","112.441","111.558","9,98M","0,05%"
"26.05.2022","111.890","110.577","112.102","110.388","13,08M","1,18%"
"25.05.2022","110.580","110.580","111.006","109.699","10,74M","0,00%"
"24.05.2022","110.581","110.340","110.635","108.399","11,72M","0,21%"
"23.05.2022","110.346","108.500","110.680","108.500","10,69M","1,71%"
"20.05.2022","108.488","107.056","108.795","107.056","12,87M","1,39%"
"19.05.2022","107.005","106.249","107.420","105.760","11,43M","0,71%"
"18.05.2022","106.247","108.788","108.923","106.038","14,75M","-2,34%"
"17.05.2022","108.789","108.246","109.774","108.245","16,50M","0,51%"
"16.05.2022","108.233","106.925","108.795","106.852","10,60M","1,22%"
"13.05.2022","106.924","105.691","107.773","105.691","12,37M","1,17%"
"12.05.2022","105.688","104.395","105.708","103.579","14,00M","1,24%"
"11.05.2022","104.397","103.110","105.374","103.008","13,43M","1,25%"
"10.05.2022","103.110","103.251","104.286","102.386","13,51M","-0,14%"
"09.05.2022","103.250","105.109","105.109","102.768","13,20M","-1,79%"
"06.05.2022","105.135","105.303","106.268","103.984","14,14M","-0,16%"
"05.05.2022","105.304","108.337","108.337","103.923","13,83M","-2,81%"
"04.05.2022","108.344","106.529","108.382","104.933","14,56M","1,70%"
"03.05.2022","106.528","106.640","107.127","106.033","9,94M","-0,10%"
"02.05.2022","106.639","107.876","107.884","105.218","11,94M","-1,15%"
